DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2004-12-31,F:Free,,A:Normal value,84.807492
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-01-31,F:Free,,A:Normal value,85.431842
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-02-28,F:Free,,A:Normal value,85.431842
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-03-31,F:Free,,A:Normal value,85.431842
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-04-30,F:Free,,A:Normal value,85.952133
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-05-31,F:Free,,A:Normal value,85.952133
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-06-30,F:Free,,A:Normal value,85.952133
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-07-31,F:Free,,A:Normal value,86.784599
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-08-31,F:Free,,A:Normal value,86.784599
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-09-30,F:Free,,A:Normal value,86.784599
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-10-31,F:Free,,A:Normal value,87.200832
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-11-30,F:Free,,A:Normal value,87.200832
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2005-12-31,F:Free,,A:Normal value,87.200832
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-01-31,F:Free,,A:Normal value,87.92924
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-02-28,F:Free,,A:Normal value,87.92924
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-03-31,F:Free,,A:Normal value,87.92924
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-04-30,F:Free,,A:Normal value,89.386056
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-05-31,F:Free,,A:Normal value,89.386056
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-06-30,F:Free,,A:Normal value,89.386056
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-07-31,F:Free,,A:Normal value,90.218522
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-08-31,F:Free,,A:Normal value,90.218522
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-09-30,F:Free,,A:Normal value,90.218522
"BIS,WS_LONG_CPI,1.0",M.AU.628,M:Monthly,AU:Australia,"628:Index, 2010 = 100","Index, 2010 = 100",Units,2006-10-31,F:Free,,A:Normal value,90.114464
