DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2007,F:Free,,A:Normal value,2.485207
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2007,F:Free,,A:Normal value,2.09546
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2007,F:Free,,A:Normal value,2.09546
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2007,F:Free,,A:Normal value,2.09546
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2007,F:Free,,A:Normal value,1.845444
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2007,F:Free,,A:Normal value,1.845444
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2007,F:Free,,A:Normal value,1.845444
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2007,F:Free,,A:Normal value,2.886836
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2007,F:Free,,A:Normal value,2.886836
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2007,F:Free,,A:Normal value,2.886836
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2008,F:Free,,A:Normal value,4.272517
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/29/2008,F:Free,,A:Normal value,4.272517
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2008,F:Free,,A:Normal value,4.272517
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2008,F:Free,,A:Normal value,4.446978
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2008,F:Free,,A:Normal value,4.446978
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2008,F:Free,,A:Normal value,4.446978
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2008,F:Free,,A:Normal value,4.983012
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2008,F:Free,,A:Normal value,4.983012
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2008,F:Free,,A:Normal value,4.983012
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2008,F:Free,,A:Normal value,3.703704
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2008,F:Free,,A:Normal value,3.703704
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2008,F:Free,,A:Normal value,3.703704
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2009,F:Free,,A:Normal value,2.436323
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2009,F:Free,,A:Normal value,2.436323
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2009,F:Free,,A:Normal value,2.436323
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2009,F:Free,,A:Normal value,1.419214
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2009,F:Free,,A:Normal value,1.419214
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2009,F:Free,,A:Normal value,1.419214
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,7/31/2009,F:Free,,A:Normal value,1.186624
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,8/31/2009,F:Free,,A:Normal value,1.186624
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,9/30/2009,F:Free,,A:Normal value,1.186624
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,10/31/2009,F:Free,,A:Normal value,2.056277
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,11/30/2009,F:Free,,A:Normal value,2.056277
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,12/31/2009,F:Free,,A:Normal value,2.056277
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,1/31/2010,F:Free,,A:Normal value,2.918919
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,2/28/2010,F:Free,,A:Normal value,2.918919
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,3/31/2010,F:Free,,A:Normal value,2.918919
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,4/30/2010,F:Free,,A:Normal value,3.121636
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,5/31/2010,F:Free,,A:Normal value,3.121636
"BIS,WS_LONG_CPI,1.0",M.AU.771,M:Monthly,AU:Australia,"771:Year-on-year changes, in per cent","Year-on-year changes, in per cent",Units,6/30/2010,F:Free,,A:Normal value,3.121636
